2019-04-24 22:05:12,862 [DEBUG] main.cpp:13 | test
2019-04-24 22:07:36,210 [DEBUG] main.cpp:13 | test
2019-04-24 22:08:10,664 [DEBUG] main.cpp:13 | test
2019-04-24 22:10:47,546 [DEBUG] main.cpp:13 | test
2019-04-24 22:12:53,979 [DEBUG] main.cpp:13 | test
2019-04-24 22:13:16,363 [ERROR] connectctrl.cpp:66 | connect error. error : 10060 connect should be asynchronous to avoid timeout.
2019-04-24 22:13:26,124 [ERROR] connectctrl.cpp:67 | remember add error event.
2019-04-24 22:14:01,34 [DEBUG] main.cpp:13 | test
2019-04-24 22:14:02,253 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:14:37,797 [DEBUG] main.cpp:13 | test
2019-04-24 22:14:38,987 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:19:02,953 [DEBUG] main.cpp:13 | test
2019-04-24 22:19:03,985 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:19:31,254 [DEBUG] main.cpp:13 | test
2019-04-24 22:19:32,285 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:20:49,651 [DEBUG] main.cpp:13 | test
2019-04-24 22:20:50,682 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:20:52,685 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:20:55,688 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:20:58,691 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:21:01,695 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:21:04,698 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:21:07,702 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:21:10,706 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:21:13,710 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:21:16,712 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:21:19,716 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:21:22,719 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:21:25,725 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:21:28,729 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:21:31,732 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:21:34,734 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:21:37,738 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:21:40,742 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:21:43,746 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:21:46,749 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:21:49,754 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:22:36,780 [DEBUG] main.cpp:13 | test
2019-04-24 22:22:37,810 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:22:39,814 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:22:42,818 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:22:45,821 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:23:28,564 [DEBUG] main.cpp:13 | test
2019-04-24 22:23:29,101 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:23:31,600 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:23:34,600 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:23:37,601 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:28:26,63 [DEBUG] main.cpp:13 | test
2019-04-24 22:28:26,598 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:28:29,97 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:28:32,98 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:28:35,99 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:28:38,99 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:28:41,101 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:28:44,102 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:28:47,103 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:28:50,103 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:28:53,103 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:28:56,102 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:28:59,103 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:29:02,104 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:29:05,103 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:29:08,104 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:29:11,104 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:29:14,106 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:29:17,107 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:29:20,106 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:29:23,106 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:29:26,109 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:29:29,109 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:29:32,109 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:29:35,109 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:29:38,111 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:29:41,111 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:29:44,111 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:29:47,111 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:29:50,111 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:29:53,112 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:29:56,114 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:29:59,114 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:30:02,115 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:30:05,115 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:30:08,116 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:30:11,116 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:30:17,528 [DEBUG] main.cpp:13 | test
2019-04-24 22:30:18,62 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:30:20,560 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:30:23,562 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:30:26,562 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:30:29,562 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:30:32,561 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:30:35,562 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:30:38,563 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:30:41,562 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:30:44,564 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:30:47,564 [DEBUG] connectctrl.cpp:71 | connect successful!!!
2019-04-24 22:30:50,565 [DEBUG] connectctrl.cpp:71 | connect successful!!!
