2019-04-24 22:05:12,857 [DEBUG] main.cpp:9 | test
2019-04-24 22:07:14,429 [ERROR] listener.cpp:36 | bind failed. error : 10049
2019-04-24 22:07:36,242 [DEBUG] main.cpp:9 | test
2019-04-24 22:07:48,191 [ERROR] listener.cpp:36 | bind failed. error : 10049
2019-04-24 22:08:10,694 [DEBUG] main.cpp:9 | test
2019-04-24 22:10:38,527 [ERROR] listener.cpp:36 | bind failed. error : 10049
2019-04-24 22:10:47,541 [DEBUG] main.cpp:9 | test
2019-04-24 22:10:51,236 [ERROR] listener.cpp:36 | bind failed. error : 10049
2019-04-24 22:12:54,10 [DEBUG] main.cpp:9 | test
2019-04-24 22:14:01,65 [DEBUG] main.cpp:9 | test
2019-04-24 22:14:37,828 [DEBUG] main.cpp:9 | test
2019-04-24 22:15:01,694 [DEBUG] main.cpp:9 | test
2019-04-24 22:17:17,101 [DEBUG] main.cpp:9 | test
2019-04-24 22:18:43,920 [DEBUG] main.cpp:9 | test
2019-04-24 22:19:02,984 [DEBUG] main.cpp:9 | test
2019-04-24 22:19:31,284 [DEBUG] main.cpp:9 | test
2019-04-24 22:20:49,681 [DEBUG] main.cpp:9 | test
2019-04-24 22:22:36,810 [DEBUG] main.cpp:9 | test
2019-04-24 22:23:28,599 [DEBUG] main.cpp:9 | test
2019-04-24 22:28:26,96 [DEBUG] main.cpp:9 | test
2019-04-24 22:28:36,108 [TRACE] iocpctrl.cpp:59 | finish IocpCtrl.
2019-04-24 22:28:36,108 [TRACE] iocpctrl.cpp:59 | finish IocpCtrl.
2019-04-24 22:28:36,108 [TRACE] iocpctrl.cpp:59 | finish IocpCtrl.
2019-04-24 22:28:36,108 [TRACE] iocpctrl.cpp:59 | finish IocpCtrl.
2019-04-24 22:28:36,108 [TRACE] iocpctrl.cpp:59 | finish IocpCtrl.
2019-04-24 22:28:36,108 [TRACE] iocpctrl.cpp:59 | finish IocpCtrl.
