2019-05-13 00:04:06,664 [DEBUG] main.cpp:12 | test
2019-05-13 00:04:09,506 [TRACE] listener.cpp:73 | accept successful!!!
2019-05-13 00:04:09,510 [TRACE] listener.cpp:108 | local ip : 2.0.31.153 port : 8089
2019-05-13 00:04:09,514 [TRACE] listener.cpp:111 | remote ip : 2.0.215.82 port : 55122
2019-05-13 00:04:21,508 [ERROR] iocpctrl.cpp:74 | GetQueuedCompletionStatus failed. ret : 0 error : 64
2019-05-13 00:04:48,53 [DEBUG] main.cpp:12 | test
2019-05-13 00:04:49,834 [TRACE] listener.cpp:73 | accept successful!!!
2019-05-13 00:04:49,839 [TRACE] listener.cpp:108 | local ip : 2.0.31.153 port : 8089
2019-05-13 00:04:49,843 [TRACE] listener.cpp:111 | remote ip : 2.0.215.178 port : 55218
2019-05-13 00:04:54,822 [DEBUG] cpsock.cpp:53 | recv data : hello world.
2019-05-13 00:04:54,826 [DEBUG] server_session.cpp:23 | server session recv successful!!! msg : 
2019-05-13 00:04:57,831 [DEBUG] cpsock.cpp:80 | send successful. content : 
2019-05-13 00:05:19,686 [DEBUG] main.cpp:12 | test
2019-05-13 00:05:20,239 [TRACE] listener.cpp:73 | accept successful!!!
2019-05-13 00:05:20,243 [TRACE] listener.cpp:108 | local ip : 2.0.31.153 port : 8089
2019-05-13 00:05:20,249 [TRACE] listener.cpp:111 | remote ip : 2.0.215.240 port : 55280
2019-05-13 00:05:24,718 [DEBUG] cpsock.cpp:53 | recv data : hello world.
2019-05-13 00:06:11,520 [DEBUG] main.cpp:12 | test
2019-05-13 00:06:11,910 [TRACE] listener.cpp:73 | accept successful!!!
2019-05-13 00:06:11,914 [TRACE] listener.cpp:108 | local ip : 2.0.31.153 port : 8089
2019-05-13 00:06:11,918 [TRACE] listener.cpp:111 | remote ip : 2.0.216.111 port : 55407
2019-05-13 00:06:15,292 [DEBUG] cpsock.cpp:53 | recv data : hello world.
2019-05-13 00:07:26,365 [DEBUG] main.cpp:12 | test
2019-05-13 00:07:29,985 [TRACE] listener.cpp:73 | accept successful!!!
2019-05-13 00:07:29,989 [TRACE] listener.cpp:108 | local ip : 2.0.31.153 port : 8089
2019-05-13 00:07:29,993 [TRACE] listener.cpp:111 | remote ip : 2.0.216.220 port : 55516
2019-05-13 00:12:38,328 [DEBUG] main.cpp:12 | test
2019-05-13 00:12:42,32 [TRACE] listener.cpp:73 | accept successful!!!
2019-05-13 00:12:42,36 [TRACE] listener.cpp:108 | local ip : 2.0.31.153 port : 8089
2019-05-13 00:12:42,41 [TRACE] listener.cpp:111 | remote ip : 2.0.217.112 port : 55664
2019-05-13 00:12:43,19 [DEBUG] cpsock.cpp:53 | recv data : hello world.
2019-05-13 00:12:43,24 [DEBUG] server_session.cpp:23 | server session recv successful!!! msg : 
2019-05-13 00:12:46,32 [DEBUG] cpsock.cpp:80 | send successful. content : 
2019-05-13 00:12:53,721 [DEBUG] cpsock.cpp:53 | recv data : 
2019-05-13 00:12:53,727 [DEBUG] cpsock.cpp:53 | recv data : 
2019-05-13 00:12:53,731 [DEBUG] cpsock.cpp:53 | recv data : 
2019-05-13 00:12:53,736 [DEBUG] cpsock.cpp:53 | recv data : 
2019-05-13 00:12:53,739 [DEBUG] cpsock.cpp:53 | recv data : 
2019-05-13 00:12:53,741 [DEBUG] cpsock.cpp:53 | recv data : 
2019-05-13 00:12:53,744 [DEBUG] cpsock.cpp:53 | recv data : 
2019-05-13 00:12:53,747 [DEBUG] cpsock.cpp:53 | recv data : 
2019-05-13 00:12:53,749 [DEBUG] cpsock.cpp:53 | recv data : 
2019-05-13 00:12:53,751 [DEBUG] cpsock.cpp:53 | recv data : 
2019-05-13 00:12:53,754 [DEBUG] cpsock.cpp:53 | recv data : 
2019-05-13 00:12:53,756 [DEBUG] cpsock.cpp:53 | recv data : 
2019-05-13 00:12:53,759 [DEBUG] cpsock.cpp:53 | recv data : 
2019-05-13 00:12:53,761 [DEBUG] cpsock.cpp:53 | recv data : 
2019-05-13 00:12:53,763 [DEBUG] cpsock.cpp:53 | recv data : 
2019-05-13 00:12:53,766 [DEBUG] cpsock.cpp:53 | recv data : 
2019-05-13 00:12:53,768 [DEBUG] cpsock.cpp:53 | recv data : 
2019-05-13 00:12:53,770 [DEBUG] cpsock.cpp:53 | recv data : 
2019-05-13 00:12:53,773 [DEBUG] cpsock.cpp:53 | recv data : 
2019-05-13 00:12:53,775 [DEBUG] cpsock.cpp:53 | recv data : 
2019-05-13 00:13:18,801 [DEBUG] main.cpp:12 | test
2019-05-13 00:13:19,144 [TRACE] listener.cpp:73 | accept successful!!!
2019-05-13 00:13:19,152 [TRACE] listener.cpp:108 | local ip : 2.0.31.153 port : 8089
2019-05-13 00:13:19,162 [TRACE] listener.cpp:111 | remote ip : 2.0.217.209 port : 55761
2019-05-13 00:13:19,681 [DEBUG] cpsock.cpp:53 | recv data : hello world.
2019-05-13 00:14:23,816 [DEBUG] server_session.cpp:23 | server session recv successful!!! msg : 
2019-05-13 00:14:26,829 [DEBUG] cpsock.cpp:80 | send successful. content : 
2019-05-13 00:14:39,278 [DEBUG] main.cpp:12 | test
2019-05-13 00:14:39,670 [TRACE] listener.cpp:73 | accept successful!!!
2019-05-13 00:14:39,673 [TRACE] listener.cpp:108 | local ip : 2.0.31.153 port : 8089
2019-05-13 00:14:39,677 [TRACE] listener.cpp:111 | remote ip : 2.0.218.58 port : 55866
2019-05-13 00:14:40,253 [DEBUG] cpsock.cpp:53 | recv data : hello world.
2019-05-13 00:14:40,256 [DEBUG] server_session.cpp:23 | server session recv successful!!! msg : 
2019-05-13 00:14:43,261 [DEBUG] cpsock.cpp:80 | send successful. content : 
2019-05-13 00:15:25,156 [DEBUG] main.cpp:12 | test
2019-05-13 00:15:25,713 [TRACE] listener.cpp:73 | accept successful!!!
2019-05-13 00:15:25,718 [TRACE] listener.cpp:108 | local ip : 2.0.31.153 port : 8089
2019-05-13 00:15:25,724 [TRACE] listener.cpp:111 | remote ip : 2.0.218.113 port : 55921
2019-05-13 00:15:26,196 [DEBUG] cpsock.cpp:53 | recv data : hello world.
2019-05-13 00:15:26,201 [DEBUG] server_session.cpp:23 | server session recv successful!!! msg : 
2019-05-13 00:15:29,206 [DEBUG] cpsock.cpp:80 | send successful. content : 
