2019-05-12 12:23:37,714 [DEBUG] main.cpp:11 | test
2019-05-12 12:24:09,198 [DEBUG] main.cpp:11 | test
2019-05-12 12:24:26,513 [DEBUG] main.cpp:11 | test
2019-05-12 12:29:01,611 [DEBUG] main.cpp:11 | test
2019-05-12 12:29:27,652 [DEBUG] main.cpp:11 | test
2019-05-12 12:31:25,850 [DEBUG] main.cpp:12 | test
2019-05-12 12:31:29,936 [TRACE] listener.cpp:73 | accept successful!!!
2019-05-12 12:31:29,940 [TRACE] listener.cpp:108 | local ip : 2.0.31.153 port : 8089
2019-05-12 12:31:29,944 [TRACE] listener.cpp:111 | remote ip : 2.0.201.100 port : 51556
2019-05-12 12:31:38,528 [ERROR] iocpctrl.cpp:72 | GetQueuedCompletionStatus failed. ret : 0 error : 64
2019-05-12 12:31:40,822 [DEBUG] main.cpp:12 | test
2019-05-12 12:32:12,231 [DEBUG] main.cpp:12 | test
2019-05-12 12:33:42,519 [DEBUG] main.cpp:12 | test
2019-05-12 12:34:07,54 [DEBUG] main.cpp:12 | test
2019-05-12 12:37:17,961 [DEBUG] main.cpp:12 | test
2019-05-12 12:37:36,53 [DEBUG] main.cpp:12 | test
2019-05-12 12:38:50,533 [DEBUG] main.cpp:12 | test
2019-05-12 12:39:02,411 [TRACE] listener.cpp:73 | accept successful!!!
2019-05-12 12:39:02,415 [TRACE] listener.cpp:108 | local ip : 2.0.31.153 port : 8089
2019-05-12 12:39:02,418 [TRACE] listener.cpp:111 | remote ip : 2.0.204.83 port : 52307
2019-05-12 12:39:52,345 [DEBUG] main.cpp:12 | test
2019-05-12 12:39:52,733 [TRACE] listener.cpp:73 | accept successful!!!
2019-05-12 12:39:52,736 [TRACE] listener.cpp:108 | local ip : 2.0.31.153 port : 8089
2019-05-12 12:39:52,740 [TRACE] listener.cpp:111 | remote ip : 2.0.204.177 port : 52401
2019-05-12 12:40:42,752 [ERROR] iocpctrl.cpp:72 | GetQueuedCompletionStatus failed. ret : 0 error : 64
2019-05-12 12:41:30,478 [DEBUG] main.cpp:12 | test
2019-05-12 12:41:31,44 [TRACE] listener.cpp:73 | accept successful!!!
2019-05-12 12:41:31,48 [TRACE] listener.cpp:108 | local ip : 2.0.31.153 port : 8089
2019-05-12 12:41:31,52 [TRACE] listener.cpp:111 | remote ip : 2.0.205.13 port : 52493
